"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
-$1.00,-$1.06,-$1.95,-$1.78,20-Jun-16,110-5438550-8709860,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
,-$4.09,-$2.45,-$1.50,19-Jun-16,105-3451895-4801857,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,19-Jun-16,106-3488673-7227406,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,,,,
-$1.00,-$1.46,-$0.50,-$1.20,19-Jun-16,111-7689798-0655417,5X-9Y91-79MY,"Order Payment","Product charges",,$7.99,1,"Cami Secret Set of 3 Clip-on Camisole, Black/Beige/White, One Size",,,,,,
-$1.00,-$2.12,-$3.90,-$3.56,19-Jun-16,109-0764249-7996269,VG6-VKY-SRF,"Order Payment","Product charges",,$23.70,2,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,19-Jun-16,111-7263721-6789842,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,19-Jun-16,116-8966962-9442646,CW-OY03-VE7M,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Pink)",-$2.07,$2.07,$0.00,,,
,-$4.09,-$2.84,-$2.33,19-Jun-16,104-3853667-9983454,ZC7-SDK-9EZ,"Order Payment","Product charges",,$15.50,1,"Quickie Bulldozer 18-Inch Poly Split Fiber Push Broom",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,18-Jun-16,108-3586850-0698651,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,$0.00,,,
-$1.00,-$1.06,-$3.51,-$1.65,18-Jun-16,109-5559345-5808257,13-PAI1-IANH,"Order Payment","Product charges",,$10.99,1,"Bioworld Regular Show Mordecai Hooded Blue Backpack",,,,,,
-$1.00,-$1.06,-$1.95,-$1.78,18-Jun-16,111-1483663-6364260,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,18-Jun-16,102-7117133-1271429,LA-WNVM-684G,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,18-Jun-16,108-8553021-2957828,6T3-1R4-UX4,"Order Payment","Product charges",,$9.99,1,"Superman Lunch Bag ( Man of Steel Movie )",,,,,,
,-$4.09,-$2.45,-$1.50,18-Jun-16,115-2916735-8197865,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,18-Jun-16,113-9656062-9168263,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$1.06,-$4.29,-$2.55,18-Jun-16,104-5699627-5380247,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,18-Jun-16,111-0608608-5863429,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",-$3.17,$3.17,,,,
