"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","Promo rebates - Shipping","Amazon fees - Refund Administration Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee","Amazon fees - FBA Removal Order: Return Fee"
,-$4.09,-$3.62,-$3.00,19-Mar-16,103-6931820-2647430,22-Q94M-YDGP,"Order Payment","Product charges",,"$19.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,"$0.00 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"$9.88 ",,,,,
-$1.00,-$1.06,-$0.96,-$1.50,19-Mar-16,114-0153402-0576204,3G-5P9S-KWAT,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",,,-$10.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,19-Mar-16,112-6359454-1330640,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$8.18,-$7.24,-$6.00,19-Mar-16,115-1545659-6448257,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,19-Mar-16,112-0401858-6377059,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,19-Mar-16,102-3776419-3854658,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,18-Mar-16,104-5558628-9799459,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,18-Mar-16,107-2803945-8949017,86-XBMI-Q597,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Gold )",,,-$10.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,18-Mar-16,112-2401440-6788221,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,18-Mar-16,002-0080179-7622642,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$1.50,18-Mar-16,110-0525075-9858660,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,-$10.00,,,,,,,,,,
,-$4.09,-$3.62,-$1.50,18-Mar-16,114-1932249-5220238,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,-$10.00,,,,,,,,,,
,-$4.09,-$8.69,-$7.35,18-Mar-16,115-7863645-3673034,IM-VFRS-GRIO,"Order Payment","Product charges",,"$48.99 ",1,"Humanscale Zon Air Purifier in Red",-$12.99,"$12.99 ",,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,18-Mar-16,113-0287173-2823469,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-$36.66,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,18-Mar-16,116-8090404-9634622,7W-PCJM-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",-$3.02,"$3.02 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,-$21.83,,,,,,,,,
,,,-$1.79,18-Mar-16,103-0161780-2246623,R6-ADU0-UQOZ,"Order Payment","Product charges",,"$11.94 ",1,"Sunbeam Ultra Slim Space Saving Multi Tier Velvet Trouser Hangers (Pack of 3)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-$25.81,,,,,,,,,
,-$4.09,-$8.30,-$6.90,17-Mar-16,107-3883630-8786630,Q3-3IFR-V1ZN,"Order Payment","Product charges",,"$45.99 ",1,"Humanscale Zon Air Purifier in White",-$13.98,"$13.98 ",,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,17-Mar-16,105-4492154-7473056,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$2.25,17-Mar-16,103-1070836-4834617,7W-PCJO-3BVK,"Order Payment","Product charges",,"$29.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,-$15.00,,,,,,,,,,
,,,"$1.50 ",17-Mar-16,110-5539552-0362626,22-Q94M-YDGP,Refund,"Product charges",,($19.99),1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,"$10.00 ",,,,-$0.30,,,,,,
,-$4.09,-$3.62,-$3.00,17-Mar-16,112-1490062-5119457,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$1.50,17-Mar-16,104-7562702-7821804,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,-$10.00,,,,,,,,,,
