"Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - Refund Administration Fee","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee"
-$4.09,-$8.69,-$7.50,16-Mar-16,115-2535984-2328203,AQ-1M7T-VZVT,"Order Payment","Product charges",,$49.99,1,"Humanscale Zon Air Purifier in Black",$0.00,,,,,,,,,,,,
-$8.18,-$7.24,-$6.00,16-Mar-16,116-4134405-4587436,BQ-4FEP-C3OH,"Order Payment","Product charges",,$39.98,2,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,16-Mar-16,103-3147397-3127440,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,$11.98,,,-$11.98,,,,,,,
,,,,,,,,,,,,,,,,,,-$16.53,,,,,,
-$4.09,-$3.62,-$3.00,16-Mar-16,108-5313599-5072230,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,$3.99,,,-$3.99,,,,,,,
-$4.09,-$3.62,-$3.75,16-Mar-16,113-4150463-4224200,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.75,16-Mar-16,115-9274651-3352259,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,16-Mar-16,108-3457835-0891413,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,$1.50,15-Mar-16,108-8943444-8800264,22-Q94M-YDGP,Refund,"Product charges",,-$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",$10.00,,,-$0.30,,,,,,,,,
-$4.09,-$3.62,-$3.00,15-Mar-16,109-5013384-7400216,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,15-Mar-16,104-3738828-6410628,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,15-Mar-16,116-2834294-7240268,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$4.09,-$3.62,-$1.50,15-Mar-16,002-8861507-4214627,BQ-4FEP-C3OH,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$10.00,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,15-Mar-16,115-3014198-2845044,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-$16.55,,,,,,
,,-$1.50,15-Mar-16,109-7165637-1479419,GN-32EX-KL27,"Order Payment","Product charges",,$19.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$10.00,,,,,,,,,,,,
-$4.09,-$3.62,-$3.00,15-Mar-16,113-0636227-1221868,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
-$4.09,-$3.62,-$1.50,14-Mar-16,103-4493465-1113025,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$10.00,,,,,,,,,,,,
-$1.06,-$0.96,-$1.35,14-Mar-16,103-2266698-9718648,FV-XXFT-7P69,"Order Payment","Product charges",,$8.99,1,"My Little Pony Soft Tote Lunch Box",,,,,-$1.00,,,,,,,,
-$4.09,-$3.62,-$3.00,14-Mar-16,108-1714657-0824214,22-Q94M-YDGP,"Order Payment","Product charges",,$19.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
