"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"26-Mar-16","114-3798482-8674607","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($4.50)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","114-3798482-8674607","22-Q94M-YDGP","Order Payment","Product charges",,"$29.99 ",,"1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","115-7464352-9549053","H1-IGX2-R0XD","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"26-Mar-16","115-7464352-9549053","H1-IGX2-R0XD","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"26-Mar-16","115-7464352-9549053","H1-IGX2-R0XD","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"26-Mar-16","115-7464352-9549053","H1-IGX2-R0XD","Order Payment","Amazon fees","Referral Fee on Item Price","($2.85)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"26-Mar-16","115-7464352-9549053","H1-IGX2-R0XD","Order Payment","Product charges",,"$18.99 ",,"1","Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Full Size (54""x75"") - Skirt Stretches to 16""!"
"26-Mar-16","102-2527454-6560238","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($8.18)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","102-2527454-6560238","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($7.24)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","102-2527454-6560238","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($9.00)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","102-2527454-6560238","22-Q94M-YDGP","Order Payment","Product charges",,"$59.98 ",,"2","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","111-5100305-4027453","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"My Little Pony Soft Tote Lunch Box"
"26-Mar-16","111-5100305-4027453","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"My Little Pony Soft Tote Lunch Box"
"26-Mar-16","111-5100305-4027453","FV-XXFT-7P69","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"My Little Pony Soft Tote Lunch Box"
"26-Mar-16","111-5100305-4027453","FV-XXFT-7P69","Order Payment","Amazon fees","Referral Fee on Item Price","($1.35)",,,"My Little Pony Soft Tote Lunch Box"
"26-Mar-16","111-5100305-4027453","FV-XXFT-7P69","Order Payment","Product charges",,"$8.99 ",,"1","My Little Pony Soft Tote Lunch Box"
"26-Mar-16","102-5889047-8700257","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","102-5889047-8700257","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Weight Handling Fee","($4.01)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","102-5889047-8700257","3Y-2VGV-AZ21","Order Payment","Amazon fees","Referral Fee on Item Price","($2.25)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","102-5889047-8700257","3Y-2VGV-AZ21","Order Payment","Product charges",,"$29.99 ",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","102-5889047-8700257","3Y-2VGV-AZ21","Order Payment","Promo rebates",,"$0.00 ",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","102-5889047-8700257","3Y-2VGV-AZ21","Order Payment","Promo rebates",,"($15.00)",,"1","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"26-Mar-16","002-2557573-6369856","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","002-2557573-6369856","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","002-2557573-6369856","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","002-2557573-6369856","BQ-4FEP-C3OH","Order Payment","Amazon fees","Shipping Chargeback","($3.99)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","002-2557573-6369856","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","002-2557573-6369856","BQ-4FEP-C3OH","Order Payment","Other","Shipping","$3.99 ",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","112-5686813-7721069","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","112-5686813-7721069","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","112-5686813-7721069","22-Q94M-YDGP","Order Payment","Amazon fees","Referral Fee on Item Price","($4.50)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","112-5686813-7721069","22-Q94M-YDGP","Order Payment","Product charges",,"$29.99 ",,"1","Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","113-6322679-0570632","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","113-6322679-0570632","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","113-6322679-0570632","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","113-6322679-0570632","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","113-6322679-0570632","BQ-4FEP-C3OH","Order Payment","Promo rebates",,"$0.00 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","113-6322679-0570632","BQ-4FEP-C3OH","Order Payment","Promo rebates",,"$0.00 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"26-Mar-16","002-3389584-2510618","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
"26-Mar-16","002-3389584-2510618","22-Q94M-YDGP","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow"
